date cvd tmpd o3mean
1989-02-15 59 51.25 -13.9477
1989-02-16 72 52.25 -17.8857
1989-02-17 64 54.25 -16.3096
1989-02-18 63 53.25 -12.4198
1989-02-19 53 54 -16.7176
1989-02-20 54 55.5 -10.6124
1989-02-21 57 62 -9.5582
1989-02-22 56 67.75 -11.0813
1989-02-23 57 66 -9.6286
1989-02-24 65 67 -9.2307
1989-02-25 60 68 1.5527
1989-02-26 57 65.25 -2.6428
1989-02-27 60 61.75 -4.9738
1989-02-28 44 58 -5.0337
1989-03-01 66 55.25 -8.6612
1989-03-02 41 54 -14.5008
1989-03-03 42 55 -6.2288
1989-03-04 61 52.75 -10.1964
1989-03-05 42 58.25 -2.5938
1989-03-06 48 61.75 -0.512
1989-03-07 51 63.25 -5.7885
1989-03-08 52 60.25 -4.6737
1989-03-09 45 58.75 -10.2451
1989-03-10 43 59.25 -13.3707
1989-03-11 49 60.5 -13.3474
1989-03-12 53 62.5 -5.9138
1989-03-13 39 58.75 -9.275
1989-03-14 66 58.75 -3.9403
1989-03-15 47 58.5 0.6691
1989-03-16 46 58 -3.7875
1989-03-17 46 57.25 -9.169
1989-03-18 40 59.5 -3.6004
1989-03-19 51 61 -4.6713
1989-03-20 53 68.25 -4.5811
1989-03-21 32 69.75 -6.4661
1989-03-22 36 61.5 -3.1172
1989-03-23 41 59.75 2.5956
1989-03-24 53 60 1.285
1989-03-25 60 57.75 -9.6925
1989-03-26 47 56 -0.9358
1989-03-27 41 56 -2.8809
1989-03-28 54 58.5 -4.4182
1989-03-29 41 62.75 -5.8377
1989-03-30 50 63.75 2.7952
1989-03-31 43 67.25 -4.2948
1989-04-01 37 63 -2.599
1989-04-02 62 62.75 -0.447
1989-04-03 54 66.75 -4.3401
1989-04-04 51 79.25 -0.4344
1989-04-05 56 83.75 -5.5136
1989-04-06 59 86.75 10.3516
1989-04-07 61 79.75 23.627
1989-04-08 57 73.25 21.539
1989-04-09 48 65.25 10.3043
1989-04-10 36 64.75 13.4319
1989-04-11 49 62 9.0636
1989-04-12 38 62.5 3.4079
1989-04-13 47 64.5 9.068
1989-04-14 45 62.75 13.4708
1989-04-15 48 64 19.7429
1989-04-16 46 62.75 18.2413
1989-04-17 41 63.5 12.0736
1989-04-18 46 64.5 17.5759
1989-04-19 29 65.5 27.734
1989-04-20 36 65.5 22.2299
1989-04-21 44 64.75 -2.969
1989-04-22 37 61.75 5.9722
1989-04-23 38 59.25 6.1195
1989-04-24 47 58.5 1.6677
1989-04-25 43 56 -4.182
1989-04-26 51 57 -2.4609
1989-04-27 43 58.75 -1.3245
1989-04-28 41 62.25 6.8514
1989-04-29 52 63.75 14.1881
1989-04-30 46 63.5 2.7975
1989-05-01 46 62 -2.8568
1989-05-02 33 64 5.6834
1989-05-03 41 66.25 12.8936
1989-05-04 35 65.5 16.1236
1989-05-05 44 65.25 28.9274
1989-05-06 52 65.75 27.3471
1989-05-07 48 65 24.6631
1989-05-08 46 64 16.1411
1989-05-09 46 66.5 3.3946
1989-05-10 30 61 1.1428
1989-05-11 36 58.75 -3.1108
1989-05-12 46 60.25 1.0374
1989-05-13 40 60.75 0.8643
1989-05-14 38 61.5 1.6749
1989-05-15 46 61.25 -4.1467
1989-05-16 51 61 0.9591
1989-05-17 47 62.75 5.2123
1989-05-18 48 64.5 10.6427
1989-05-19 37 63 12.2284
1989-05-20 35 65.5 18.2138
1989-05-21 38 65.5 13.4895
1989-05-22 44 64.25 5.8998
1989-05-23 41 63.25 -0.3541
1989-05-24 36 63.5 4.734
1989-05-25 28 64.25 7.3291
1989-05-26 36 65 11.1218
1989-05-27 43 64 17.7218
1989-05-28 32 63.75 13.5604
1989-05-29 27 63.25 8.8504
1989-05-30 36 64.75 3.5903
1989-05-31 40 65 9.1404
1989-06-01 50 64.25 15.5899
1989-06-02 31 63 17.1182
1989-06-03 41 62 13.2566
1989-06-04 41 64 6.5158
1989-06-05 56 65.25 -1.5325
1989-06-06 46 63.25 -1.7925
1989-06-07 51 62.25 -0.7334
1989-06-08 47 64 5.5986
1989-06-09 41 63.75 4.9211
1989-06-10 44 64.5 8.5007
1989-06-11 37 64.75 19.8649
1989-06-12 25 64 10.6826
1989-06-13 34 65.75 26.8628
1989-06-14 45 67.5 40.5935
1989-06-15 39 65.25 23.9254
1989-06-16 35 67.5 20.6726
1989-06-17 56 69.25 37.2059
1989-06-18 36 69.75 37.263
1989-06-19 47 72.75 15.6134
1989-06-20 49 70.75 21.3376
1989-06-21 41 70 14.2271
1989-06-22 54 67.25 14.9309
1989-06-23 40 66.25 12.4081
1989-06-24 43 67.75 4.5364
1989-06-25 42 69.25 2.4347
1989-06-26 43 68 5.5726
1989-06-27 40 67.75 4.0381
1989-06-28 45 66.5 -2.7914
1989-06-29 41 66 -2.5095
1989-06-30 36 69 4.2857
1989-07-01 41 69.5 12.5823
1989-07-02 40 69.25 18.0811
1989-07-03 31 72 17.3478
1989-07-04 50 75 26.6945
1989-07-05 49 73.75 12.6015
1989-07-06 41 70 8.2306
1989-07-07 45 70 3.7262
1989-07-08 41 69.75 13.9252
1989-07-09 46 69.75 11.0316
1989-07-10 38 70.5 3.8203
1989-07-11 39 70.25 5.6676
1989-07-12 38 68.25 10.1971
1989-07-13 50 68 12.0389
1989-07-14 39 71.25 20.2132
1989-07-15 40 70.5 10.9579
1989-07-16 33 70.25 16.0449
1989-07-17 24 71.75 19.033
1989-07-18 32 70.25 28.1372
1989-07-19 32 71.25 35.4785
1989-07-20 32 72.75 28.0863
1989-07-21 45 72 8.0926
1989-07-22 32 72.5 3.8561
1989-07-23 35 69.75 1.5766
1989-07-24 39 68.75 1.2257
1989-07-25 44 69.75 11.3313
1989-07-26 43 71.5 22.5117
1989-07-27 37 71 30.0734
1989-07-28 46 71 26.9184
1989-07-29 51 69.5 26.6902
1989-07-30 34 70.25 26.1307
1989-07-31 29 72.25 17.6061
1989-08-01 45 71.25 13.4814
1989-08-02 38 71.25 19.0521
1989-08-03 43 71 14.0628
1989-08-04 46 71 13.5708
1989-08-05 43 70.5 11.2917
1989-08-06 53 73 6.0848
1989-08-07 45 72.25 -0.2556
1989-08-08 40 70.5 -1.9219
1989-08-09 42 70.25 2.4389
1989-08-10 39 71.75 7.9856
1989-08-11 49 71 5.5813
1989-08-12 33 72.5 5.4595
1989-08-13 43 73.5 9.7166
1989-08-14 34 70.25 5.4624
1989-08-15 55 69 14.9294
1989-08-16 48 68.5 20.2054
1989-08-17 30 68.75 17.2687
1989-08-18 31 68.5 4.5686
1989-08-19 34 68.25 4.8642
1989-08-20 37 67.5 6.0579
1989-08-21 44 68.5 3.6583
1989-08-22 35 67.75 4.6519
1989-08-23 33 67.5 7.406
1989-08-24 35 69 6.3024
1989-08-25 37 68.25 1.7412
1989-08-26 37 68 16.6527
1989-08-27 37 67.5 24.3507
1989-08-28 31 67.5 15.0239
1989-08-29 36 66.5 8.8341
1989-08-30 34 68 7.024
1989-08-31 37 68.25 4.853
1989-09-01 36 68.5 11.2889
1989-09-02 46 67.75 17.9159
1989-09-03 42 68.25 14.9442
1989-09-04 41 69.25 15.8945
1989-09-05 40 72.5 11.1988
1989-09-06 46 70.25 2.3851
1989-09-07 42 67 -2.1009
1989-09-08 42 67 2.2165
1989-09-09 42 66 12.5668
1989-09-10 39 67.25 18.2261
1989-09-11 47 66.5 9.7538
1989-09-12 32 69.75 18.8546
1989-09-13 37 70.25 22.9434
1989-09-14 45 74.5 17.4306
1989-09-15 47 76 1.7809
1989-09-16 38 72.75 -6.2982
1989-09-17 36 67.5 -4.0496
1989-09-18 34 67.25 -10.0891
1989-09-19 46 63 -6.8119
1989-09-20 50 67 -3.9914
1989-09-21 53 75.25 0.5612
1989-09-22 38 74 8.0127
1989-09-23 54 67.75 22.6569
1989-09-24 39 69.25 18.7382
1989-09-25 39 75 -11.9959
1989-09-26 35 76 11.8969
1989-09-27 44 72.75 0.6815
1989-09-28 43 73 -3.3323
1989-09-29 41 71.75 -9.2106
1989-09-30 40 67.5 -5.2043
1989-10-01 40 65.75 -0.8366
1989-10-02 47 67 -0.3438
1989-10-03 42 65 -3.5683
1989-10-04 32 65.75 -3.8833
1989-10-05 48 67.5 3.8371
1989-10-06 41 68.5 0.8627
1989-10-07 51 69.75 3.2378
1989-10-08 49 68.25 8.5925
1989-10-09 39 68.25 13.1279
1989-10-10 47 67.75 9.3203
1989-10-11 38 67.5 19.4685
1989-10-12 42 66.5 11.5503
1989-10-13 38 65.25 -2.821
1989-10-14 47 65.25 7.7472
1989-10-15 38 64.5 0.541
1989-10-16 42 63.75 0.2303
1989-10-17 34 66.25 -3.0801
1989-10-18 38 69.5 -5.6458
1989-10-19 45 72.75 -4.362
1989-10-20 51 68 -3.5814
1989-10-21 24 64.75 -11.7246
1989-10-22 50 67.5 -18.7969
1989-10-23 29 66.25 -16.4502
1989-10-24 35 65.75 -15.1269
1989-10-25 44 64 -4.6169
1989-10-26 34 61.75 -12.2201
1989-10-27 37 59.5 -12.7899
1989-10-28 47 62 -4.1456
1989-10-29 38 64.5 -8.1993
1989-10-30 70 67.25 -14.4688
1989-10-31 45 66.5 -13.9625
1989-11-01 38 66.75 -15.5682
1989-11-02 52 69.25 -13.3006
1989-11-03 43 68.25 -13.2309
1989-11-04 46 65 -7.7542
1989-11-05 42 62.5 -2.7051
1989-11-06 43 63.5 -4.265
1989-11-07 42 62.5 -6.2447
1989-11-08 44 62.25 -9.0201
1989-11-09 38 69 -15.1711
1989-11-10 39 70 -13.6738
1989-11-11 47 66.5 -2.9438
1989-11-12 41 62 8.8034
1989-11-13 50 62.25 -3.2205
1989-11-14 52 62.75 -9.2756
1989-11-15 41 66.5 -14.8471
1989-11-16 47 69.75 -16.1539
1989-11-17 44 61.75 -15.598
1989-11-18 47 71.5 -13.6583
1989-11-19 51 74 -11.7815
1989-11-20 46 72 -19.3096
1989-11-21 44 64 -14.8805
1989-11-22 51 62 -16.6287
1989-11-23 50 61.25 -3.0979
1989-11-24 40 62 0.4678
1989-11-25 51 60.75 -8.5774
1989-11-26 48 61.25 -9.4829
1989-11-27 40 61.5 -13.3984
1989-11-28 57 59 -13.01
1989-11-29 58 61.75 -14.3358
1989-11-30 61 60.5 -16.9724
1989-12-01 53 61.25 -16.5715
1989-12-02 63 65 -15.0515
1989-12-03 45 66.25 -12.0644
1989-12-04 56 64.25 -16.6823
1989-12-05 61 60.75 -18.5675
1989-12-06 63 63 -16.0823
1989-12-07 48 66 -16.7444
1989-12-08 63 66.75 -18.1907
1989-12-09 46 59.5 -14.2877
1989-12-10 48 56.25 -11.8023
1989-12-11 47 57.75 -13.2222
1989-12-12 73 57.25 -17.3507
1989-12-13 45 55.5 -21.6033
1989-12-14 54 59.75 -19.2145
1989-12-15 52 56.5 -21.605
1989-12-16 65 56 -15.0738
1989-12-17 51 54 -9.4106
1989-12-18 45 54.75 -16.1756
1989-12-19 55 58.25 -15.7673
1989-12-20 54 56 -16.2912
1989-12-21 44 55.5 -15.9209
1989-12-22 54 60.25 -15.7307
1989-12-23 49 67.75 -16.7893
1989-12-24 50 69.5 -17.0787
1989-12-25 60 64 -18.1211
1989-12-26 61 63 -19.9835
1989-12-27 57 58.75 -12.0827
1989-12-28 59 56.5 -11.9939
1989-12-29 55 56 -19.2916
1989-12-30 57 57.25 -15.0305
1989-12-31 58 57.75 -15.2378
1990-01-01 67 53 -10.4952
1990-01-02 44 55 -12.708
1990-01-03 62 54 -17.1527
1990-01-04 68 54.25 -17.8354
1990-01-05 56 57.75 -16.9455
1990-01-06 63 58.75 -16.2464
1990-01-07 54 55 -13.6191
1990-01-08 68 56.75 -15.4383
1990-01-09 64 60.25 -16.4878
1990-01-10 67 62.25 -14.4026
1990-01-11 71 57.75 -15.7858
1990-01-12 70 58.75 -17.2048
1990-01-13 50 61 -9.3056
1990-01-14 61 56.5 -11.3062
1990-01-15 49 53.5 -18.2449
1990-01-16 45 53 -16.4597
1990-01-17 47 50.25 -14.1716
1990-01-18 53 51.75 -17.0953
1990-01-19 40 51 -17.9339
1990-01-20 51 55.75 -12.4676
1990-01-21 50 56.5 -10.6351
1990-01-22 67 60.5 -15.941
1990-01-23 64 60.75 -16.255
1990-01-24 48 62.5 -13.7336
1990-01-25 61 64.75 -15.2889
1990-01-26 65 57.5 -16.8859
1990-01-27 48 60.75 -10.0234
1990-01-28 47 63.25 -10.0917
1990-01-29 51 55.75 -15.875
1990-01-30 54 54 -14.4709
1990-01-31 48 55.75 -12.4954
1990-02-01 57 56.5 -7.803
1990-02-02 57 58.25 -11.1969
1990-02-03 59 54 -15.0914
1990-02-04 56 52.5 -8.7687
1990-02-05 63 51 -13.6421
1990-02-06 48 53.25 -12.885
1990-02-07 65 54.75 -13.4977
1990-02-08 42 56.5 -12.4852
1990-02-09 59 54 -14.0705
1990-02-10 50 57.25 -11.8212
1990-02-11 44 59.75 -8.7877
1990-02-12 65 57.5 -11.546
1990-02-13 48 54.5 -9.1367
1990-02-14 61 47.75 -4.3378
1990-02-15 54 45.25 -12.2342
1990-02-16 55 47.5 -11.7133
1990-02-17 51 51.75 -11.1689
1990-02-18 63 50 -5.1076
1990-02-19 42 48.5 -7.7258
1990-02-20 61 52 -12.1502
1990-02-21 44 55.75 -11.8785
1990-02-22 48 62 -9.3336
1990-02-23 49 65 -7.3508
1990-02-24 44 64.75 -7.5565
1990-02-25 55 64 3.0427
1990-02-26 49 57.5 -3.1749
1990-02-27 44 57.25 1.4049
1990-02-28 47 57.25 -0.6319
1990-03-01 33 58.5 -7.2603
1990-03-02 44 58.75 -5.8133
1990-03-03 43 60.25 -5.8809
1990-03-04 41 58 -7.66
1990-03-05 51 55 -3.2064
1990-03-06 44 55 -8.5316
1990-03-07 38 58 -2.6057
1990-03-08 56 55 -7.7874
1990-03-09 45 57.25 -6.9696
1990-03-10 63 55.75 -3.5252
1990-03-11 38 54 1.0446
1990-03-12 47 50.5 -9.7508
1990-03-13 31 50.25 -7.6792
1990-03-14 46 53 -7.5593
1990-03-15 46 60 -3.7584
1990-03-16 44 64 -2.7465
1990-03-17 48 65 0.8088
1990-03-18 41 60.75 9.7565
1990-03-19 46 61.5 1.7908
1990-03-20 48 69 2.3562
1990-03-21 36 64.75 10.6236
1990-03-22 48 60.25 5.4255
1990-03-23 42 60.75 15.9376
1990-03-24 35 59.5 21.7469
1990-03-25 38 61 23.0492
1990-03-26 39 58.25 8.8652
1990-03-27 50 57.75 3.1211
1990-03-28 52 57.25 -4.5805
1990-03-29 39 57.25 -7.4471
1990-03-30 43 58.25 -4.1619
1990-03-31 40 56.75 2.3592
1990-04-01 41 58.25 7.1438
1990-04-02 39 61.25 3.4622
1990-04-03 37 66.5 1.676
1990-04-04 43 63 -13.7814
1990-04-05 43 62 -9.3059
1990-04-06 44 59.75 -8.778
1990-04-07 36 62.5 0.8371
1990-04-08 42 61.5 -4.1197
1990-04-09 48 61.75 -1.8632
1990-04-10 45 68 4.5727
1990-04-11 40 66.75 9.8373
1990-04-12 50 65.75 20.4939
1990-04-13 45 63.5 8.0061
1990-04-14 40 63 9.052
1990-04-15 44 64.25 5.9602
1990-04-16 48 62.5 -3.9709
1990-04-17 41 63.5 -5.3145
1990-04-18 39 64 -4.4444
1990-04-19 40 64 0.9356
1990-04-20 49 64.25 3.0661
1990-04-21 38 62.75 3.9693
1990-04-22 41 61.5 7.6402
1990-04-23 36 59.75 -7.2092
1990-04-24 34 60.75 -4.2129
1990-04-25 37 63.25 1.6411
1990-04-26 28 64.5 8.7904
1990-04-27 41 65.25 8.2365
1990-04-28 30 64.75 17.9913
1990-04-29 41 63.25 11.7081
1990-04-30 46 60.5 -5.3034
1990-05-01 43 60.5 -0.8336
1990-05-02 41 62.5 2.0484
1990-05-03 31 64.5 6.9475
1990-05-04 35 68.5 1.4473
1990-05-05 48 74 10.7311
1990-05-06 47 76.25 19.7447
1990-05-07 46 66.25 -0.6894
1990-05-08 38 64.5 4.9765
1990-05-09 46 64 9.2761
1990-05-10 40 62.25 4.6453
1990-05-11 42 61.75 0.683
1990-05-12 38 64 11.6562
1990-05-13 38 64 14.5699
1990-05-14 36 63.5 8.32
1990-05-15 35 63 3.0518
1990-05-16 38 63.5 7.7747
1990-05-17 40 63 8.7511
1990-05-18 32 62.5 6.2868
1990-05-19 42 60.5 1.5579
1990-05-20 36 61.5 0.3309
1990-05-21 50 63.75 -3.6334
1990-05-22 47 66.75 -3.557
1990-05-23 41 65 -8.9791
1990-05-24 43 63.25 -0.2128
1990-05-25 34 65 5.9576
1990-05-26 46 64.75 10.0619
1990-05-27 45 60.75 -1.8479
1990-05-28 47 62 -0.679
1990-05-29 35 61.5 -2.781
1990-05-30 45 61.75 -2.1871
1990-05-31 42 62.5 -1.1295
1990-06-01 46 63 5.9021
1990-06-02 45 69.5 19.756
1990-06-03 48 71.75 25.2253
1990-06-04 41 71.25 16.2047
1990-06-05 52 68 9.5445
1990-06-06 38 66.75 9.4369
1990-06-07 48 68.5 14.1666
1990-06-08 47 71.5 15.5685
1990-06-09 35 73 -4.6753
1990-06-10 36 70.25 -5.0511
1990-06-11 41 68.25 -0.2919
1990-06-12 38 66 3.6088
1990-06-13 32 66 0.2296
1990-06-14 42 65.5 2.4911
1990-06-15 48 65 -6.5227
1990-06-16 42 64.75 9.9853
1990-06-17 47 66 14.2122
1990-06-18 38 67.25 9.5982
1990-06-19 31 68.5 9.4967
1990-06-20 47 66.75 17.4215
1990-06-21 44 68 19.5873
1990-06-22 37 67.75 12.6266
1990-06-23 42 68.5 13.7792
1990-06-24 39 71.25 11.1295
1990-06-25 45 73 11.7483
1990-06-26 39 78.5 8.0575
1990-06-27 73 81.5 3.6904
1990-06-28 67 72 15.0058
1990-06-29 45 71.25 4.1753
1990-06-30 45 69.25 12.505
1990-07-01 40 71.25 21.0194
1990-07-02 35 71 11.6
1990-07-03 45 70.5 8.0959
1990-07-04 45 70.5 11.4158
1990-07-05 50 72.25 5.4879
1990-07-06 47 73 12.3942
1990-07-07 39 70.5 8.4833
1990-07-08 44 68.75 8.2867
1990-07-09 36 71 7.8234
1990-07-10 43 74.5 8.535
1990-07-11 30 79 8.8316
1990-07-12 43 80 8.5191
1990-07-13 37 80 13.8533
1990-07-14 55 77.25 13.1232
1990-07-15 41 74 4.7222
1990-07-16 45 73.5 -2.3162
1990-07-17 38 75 4.5665
1990-07-18 40 75.75 6.618
1990-07-19 37 77 19.0652
1990-07-20 39 74 16.0131
1990-07-21 42 73.75 9.1485
1990-07-22 46 73.5 18.7379
1990-07-23 42 73 15.4198
1990-07-24 43 71.25 10.0299
1990-07-25 36 71.5 6.2174
1990-07-26 40 71.75 10.5414
1990-07-27 32 72 13.8157
1990-07-28 42 71.25 18.6717
1990-07-29 31 71.5 19.4829
1990-07-30 41 74 10.5926
1990-07-31 46 71 7.6534
1990-08-01 34 69.25 8.3045
1990-08-02 44 70.25 8.4651
1990-08-03 40 69.75 11.7011
1990-08-04 36 69.25 11.5751
1990-08-05 39 71.5 19.095
1990-08-06 36 75.25 16.859
1990-08-07 40 74.5 10.3497
1990-08-08 37 74 12.4286
1990-08-09 36 72.5 10.3505
1990-08-10 32 71.5 11.6959
1990-08-11 29 72.5 17.6798
1990-08-12 42 73.5 13.105
1990-08-13 29 71.5 4.3884
1990-08-14 37 70.25 -1.7032
1990-08-15 44 71 -3.8818
1990-08-16 37 70.5 3.9682
1990-08-17 34 70.75 10.4154
1990-08-18 38 71.5 15.52
1990-08-19 34 71.5 5.5287
1990-08-20 41 70.25 -0.5504
1990-08-21 36 70.5 5.7883
1990-08-22 48 71 6.229
1990-08-23 51 70.75 7.3249
1990-08-24 46 70.25 5.3379
1990-08-25 38 69.25 2.141
1990-08-26 46 68.25 3.8495
1990-08-27 40 69.75 0.7073
1990-08-28 38 72.5 4.8077
1990-08-29 41 71.75 8.8044
1990-08-30 37 72.5 12.362
1990-08-31 39 71.5 8.6128
1990-09-01 47 69.5 13.97
1990-09-02 44 70.25 14.7485
1990-09-03 45 70.75 12.2661
1990-09-04 46 74.25 6.6459
1990-09-05 29 76.25 9.2444
1990-09-06 33 77 6.0994
1990-09-07 41 77 7.3034
1990-09-08 41 76.75 18.522
1990-09-09 38 79 24.4071
1990-09-10 40 75.75 6.4928
1990-09-11 47 75.25 11.6337
1990-09-12 43 73.25 10.1719
1990-09-13 29 72.75 16.1512
1990-09-14 45 73.75 16.2964
1990-09-15 36 71.5 12.5285
1990-09-16 52 68.5 9.6071
1990-09-17 42 70.5 9.0398
1990-09-18 44 70.25 1.3592
1990-09-19 59 69.25 -3.7897
1990-09-20 45 70.75 3.2004
1990-09-21 44 71 -0.5824
1990-09-22 42 70.5 1.0081
1990-09-23 42 69.75 1.5295
1990-09-24 28 70.25 3.5632
1990-09-25 36 70 2.8746
1990-09-26 35 69.25 -1.8594
1990-09-27 42 67 -1.9735
1990-09-28 37 69 4.0483
1990-09-29 35 70.5 6.1208
1990-09-30 45 70.75 8.3526
1990-10-01 42 71.25 4.4468
1990-10-02 41 68.75 3.3635
1990-10-03 38 71 6.4706
1990-10-04 47 76.5 15.7039
1990-10-05 36 70.5 -0.3488
1990-10-06 37 66.25 -0.5545
1990-10-07 44 69 2.3074
1990-10-08 38 74 -3.0694
1990-10-09 39 77.25 -5.358
1990-10-10 37 74.75 -2.6485
1990-10-11 43 67.5 3.9703
1990-10-12 38 68.25 12.1824
1990-10-13 34 66.75 15.5406
1990-10-14 37 67.5 15.7614
1990-10-15 46 67.5 13.9546
1990-10-16 29 68.5 14.317
1990-10-17 37 70.25 6.84
1990-10-18 46 69.25 -5.6957
1990-10-19 41 67 -4.6898
1990-10-20 35 68.75 -2.0166
1990-10-21 43 72 -0.3863
1990-10-22 33 72.5 -7.0493
1990-10-23 53 71.5 -2.7207
1990-10-24 33 73.75 -2.652
1990-10-25 39 72.5 0.2141
1990-10-26 39 67 0.5055
1990-10-27 51 67.75 8.8616
1990-10-28 56 67.75 15.1922
1990-10-29 33 66.75 1.9721
1990-10-30 57 65 -8.7545
1990-10-31 50 63.5 -8.3813
1990-11-01 45 63.25 -8.2487
1990-11-02 48 63 -8.9615
1990-11-03 45 60.5 -9.745
1990-11-04 40 61.75 -8.8193
1990-11-05 40 60.5 -8.6972
1990-11-06 52 63.25 -3.4357
1990-11-07 53 65 -6.9519
1990-11-08 43 61 -14.8347
1990-11-09 45 69.25 -13.0601
1990-11-10 47 76 -8.198
1990-11-11 35 72 -9.8121
1990-11-12 41 71 -10.1258
1990-11-13 51 68.25 -8.1667
1990-11-14 38 63.25 -8.1534
1990-11-15 41 63.25 -11.2943
1990-11-16 42 64 -16.0609
1990-11-17 35 65.25 -8.7196
1990-11-18 36 63.25 -4.3314
1990-11-19 42 61.5 -13.8457
1990-11-20 43 61.25 -12.6812
1990-11-21 42 59 -13.7996
1990-11-22 48 64.25 -8.8913
1990-11-23 37 67.5 -11.9926
1990-11-24 41 64 -9.4019
1990-11-25 51 59 -1.6209
1990-11-26 34 56.75 -4.0049
1990-11-27 42 56.25 -15.2395
1990-11-28 57 61.75 -15.41
1990-11-29 33 65 -14.7395
1990-11-30 40 60.25 -18.99
1990-12-01 50 59.25 -14.0765
1990-12-02 47 65 -10.01
1990-12-03 46 67 -14.8927
1990-12-04 47 64.75 -14.9809
1990-12-05 47 61.75 -17.9767
1990-12-06 49 66 -15.9536
1990-12-07 40 68 -17.657
1990-12-08 60 68 -14.9577
1990-12-09 43 63.75 -13.8421
1990-12-10 58 60.5 -16.4367
1990-12-11 47 60.75 -15.4957
1990-12-12 48 57 -16.603
1990-12-13 47 55.75 -16.5877
1990-12-14 47 55.25 -14.1641
1990-12-15 52 52.5 -14.3425
1990-12-16 47 53 -11.4249
1990-12-17 52 51.75 -16.3485
1990-12-18 54 52 -16.4682
1990-12-19 48 54.25 -8.6874
1990-12-20 57 49 -8.5069
1990-12-21 39 43.5 -13.5241
1990-12-22 54 41.75 -12.4802
1990-12-23 53 44.25 -11.4153
1990-12-24 66 51.25 -12.7457
1990-12-25 47 53.75 -13.256
1990-12-26 54 54.75 -16.8831
1990-12-27 52 56.75 -17.771
1990-12-28 60 52 -18.2609
1990-12-29 55 52.75 -12.0846
1990-12-30 43 54.5 -11.4876
1990-12-31 55 56.75 -13.8698
1991-01-01 44 60 -12.3182
1991-01-02 55 58.5 -20.7021
1991-01-03 50 56 -22.1257
1991-01-04 61 58 -20.8495
1991-01-05 49 60 -17.1812
1991-01-06 48 57 -18.4168
1991-01-07 54 58.25 -16.5011
1991-01-08 52 53.5 -18.3465
1991-01-09 50 53 -19.737
1991-01-10 44 54 -16.9784
1991-01-11 57 55.75 -17.9835
1991-01-12 48 59 -15.2999
1991-01-13 53 62 -11.6296
1991-01-14 60 65.5 -14.437
1991-01-15 58 59.5 -14.0297
1991-01-16 46 63 -7.3001
1991-01-17 52 60.5 -15.5812
1991-01-18 41 59.75 -16.7078
1991-01-19 48 57.75 -12.0055
1991-01-20 44 55.25 -9.9879
1991-01-21 44 58.75 -12.3653
1991-01-22 41 55.75 -14.2981
1991-01-23 47 53.25 -17.1296
1991-01-24 35 54 -14.5036
1991-01-25 40 54.75 -14.5164
1991-01-26 49 54.75 -11.7992
1991-01-27 42 54.5 -9.5914
1991-01-28 57 53 -10.5218
1991-01-29 38 54 -10.6419
1991-01-30 47 56.75 -13.7033
1991-01-31 48 60 -17.821
1991-02-01 55 60.75 -16.384
1991-02-02 52 53.5 -19.4192
1991-02-03 40 56.25 -9.1406
1991-02-04 54 58 -11.9563
1991-02-05 40 61.25 -13.1778
1991-02-06 61 62.75 -12.8291
1991-02-07 50 58.75 -14.1354
1991-02-08 58 58.25 -12.8552
1991-02-09 48 64 -4.6491
1991-02-10 49 63 -1.9715
1991-02-11 47 65.75 -13.1991
1991-02-12 41 61.5 -7.8135
1991-02-13 41 59.25 -9.5141
1991-02-14 44 66.5 -8.3677
1991-02-15 49 64.5 -8.6202
1991-02-16 55 60 -4.4467
1991-02-17 42 58 -2.9633
1991-02-18 42 63.5 -6.6801
1991-02-19 44 62.5 -12.0125
1991-02-20 66 62.75 -11.787
1991-02-21 58 61.5 -9.8101
1991-02-22 35 57.25 -10.2352
1991-02-23 38 58.75 -4.8037
1991-02-24 60 59 -1.2173
1991-02-25 43 60 -7.0976
1991-02-26 34 59.5 -4.8076
1991-02-27 37 58 -14.9718
1991-02-28 44 58.25 0.6029
1991-03-01 47 59 -0.4297
1991-03-02 43 57.25 -5.9232
1991-03-03 41 58.75 -8.1758
1991-03-04 66 61.75 -15.6679
1991-03-05 56 58.5 -13.5302
1991-03-06 37 57 -5.4134
1991-03-07 40 57.75 -4.1941
1991-03-08 24 59.75 -7.3879
1991-03-09 56 57.5 -5.6747
1991-03-10 48 58 4.3602
1991-03-11 52 54.25 -0.6359
1991-03-12 47 54.75 -8.3168
1991-03-13 37 54.5 -12.0414
1991-03-14 44 53.25 -5.2241
1991-03-15 45 49.5 -3.8811
1991-03-16 38 49.25 -5.4235
1991-03-17 54 53.75 -1.7418
1991-03-18 51 58 -4.0248
1991-03-19 50 54.5 2.4786
1991-03-20 37 53.5 -2.064
1991-03-21 34 51.75 -8.1831
1991-03-22 45 54 -9.7378
1991-03-23 49 53.75 -6.2281
1991-03-24 44 53.5 -1.0615
1991-03-25 46 54.75 -0.0783
1991-03-26 48 51.5 0.2859
1991-03-27 39 52.5 -0.534
1991-03-28 60 53.25 -6.3292
1991-03-29 54 55 -1.2737
1991-03-30 45 60.75 3.5522
1991-03-31 41 58.25 6.0773
1991-04-01 53 57 -5.5376
1991-04-02 55 58.75 -5.7498
1991-04-03 48 61 -4.1364
1991-04-04 58 66.25 5.0368
1991-04-05 41 67.25 13.9395
1991-04-06 48 60.25 10.5057
1991-04-07 50 61.5 8.9001
